team_name,projected_team_points
 Duuvall Jags,2263.16
Fields Of Dreams,2251.88
Koreatown  Chopsticks,2274.0
Last-a-Minutemen,2284.9
Mr Mahomo ,2328.35
My Ball Zach Ertz,2182.48
Renfrow v Wade,2351.64
The Godfather,2268.67
