team,week,points_for,points_against,win,opponent
My Ball Zach Ertz,10,129.64,123.7,1,Renfrow v Wade
My Ball Zach Ertz,11,136.18,118.22,1,Fields Of Dreams
My Ball Zach Ertz,12,100.62,114.02,0,Mr Mahomo 
My Ball Zach Ertz,13,109.72,124.26,0,Koreatown  Chopsticks
My Ball Zach Ertz,14,112.74,104.1,1, Duuvall Jags
My Ball Zach Ertz,15,90.14,115.6,0,Fields Of Dreams
Renfrow v Wade,1,132.62,103.46,1,The Godfather
Renfrow v Wade,2,109.88,123.94,0,Last-a-Minutemen
Renfrow v Wade,3,102.96,111.02,0,My Ball Zach Ertz
Renfrow v Wade,4,128.3,145.24,0,Mr Mahomo 
Renfrow v Wade,5,144.92,151.9,0,Koreatown  Chopsticks
Renfrow v Wade,6,126.88,120.12,1, Duuvall Jags
Renfrow v Wade,7,121.34,102.02,1,Fields Of Dreams
Renfrow v Wade,8,124.96,144.12,0,The Godfather
Renfrow v Wade,9,95.8,105.96,0,Last-a-Minutemen
Renfrow v Wade,10,123.7,129.64,0,My Ball Zach Ertz
Renfrow v Wade,11,141.54,109.8,1,Mr Mahomo 
Renfrow v Wade,12,167.78,128.66,1,Koreatown  Chopsticks
Renfrow v Wade,13,118.04,107.0,1, Duuvall Jags
Renfrow v Wade,14,106.1,73.9,1,Fields Of Dreams
Renfrow v Wade,15,143.16,148.7,0,Mr Mahomo 
The Godfather,1,103.46,132.62,0,Renfrow v Wade
The Godfather,2,115.7,149.82,0,My Ball Zach Ertz
The Godfather,3,116.12,121.02,0,Last-a-Minutemen
The Godfather,4,135.08,141.9,0,Koreatown  Chopsticks
The Godfather,5,127.32,136.0,0, Duuvall Jags
The Godfather,6,155.18,125.44,1,Fields Of Dreams
The Godfather,7,119.58,103.74,1,Mr Mahomo 
The Godfather,8,144.12,124.96,1,Renfrow v Wade
The Godfather,9,129.46,112.4,1,My Ball Zach Ertz
The Godfather,10,154.64,167.4,0,Last-a-Minutemen
The Godfather,11,120.82,108.96,1,Koreatown  Chopsticks
The Godfather,12,102.02,136.76,0, Duuvall Jags
The Godfather,13,152.4,146.34,1,Fields Of Dreams
The Godfather,14,117.94,133.58,0,Mr Mahomo 
The Godfather,15,165.7,136.84,1,Koreatown  Chopsticks
